Legend: waktu, latitude, longitude, altitude, gx, gy, gz, ax, ay, az 
(2023-03-11_15-04-44.065, 0.0, 0.0, None, -0.007915432564914227, -0.006481373682618141, 0.006057095713913441, 0.5893184542655945, 0.11204913258552551, -9.509045600891113) 
(2023-03-11_15-04-44.100, 0.0, 0.0, None, -0.01776726171374321, -0.0003554224967956543, -0.006813737563788891, 0.7177594900131226, 0.26959913969039917, -9.628838539123535) 
(2023-03-11_15-04-44.142, 0.0, 0.0, None, -0.011586146429181099, -0.0034346934407949448, 0.006643983535468578, 0.7373514175415039, 0.016064710915088654, -9.930768013000488) 
(2023-03-11_15-04-44.182, 0.0, 0.0, None, -0.0024190451949834824, -0.0008747391402721405, -0.011637512594461441, 0.44226545095443726, 0.10239613801240921, -9.872905731201172) 
(2023-03-11_15-04-44.227, 0.0, 0.0, None, -0.01397783774882555, -0.004739014431834221, 0.0267769955098629, 0.6039454936981201, 0.1261771321296692, -9.834755897521973) 
(2023-03-11_15-04-44.268, 0.0, 0.0, None, 0.007433336228132248, 0.001010080799460411, -0.00977672915905714, 0.5137028694152832, 0.15962179005146027, -9.987905502319336) 
(2023-03-11_15-04-44.301, 0.0, 0.0, None, -0.020118538290262222, 0.016792230308055878, -0.001385783776640892, 0.6281169652938843, -0.16548627614974976, -9.949914932250977) 
(2023-03-11_15-04-44.342, 0.0, 0.0, None, 0.011081138625741005, -0.013108963146805763, -0.0011744359508156776, 0.5371689200401306, 0.17888440191745758, -9.719695091247559) 
(2023-03-11_15-04-44.391, 0.0, 0.0, None, -0.015133403241634369, 0.01983967423439026, 0.01265795063227415, 0.8611999750137329, 0.1400865763425827, -10.170319557189941) 
(2023-03-11_15-04-44.424, 0.0, 0.0, None, -0.010310646146535873, -0.00408509373664856, 0.020075827836990356, 0.6272687315940857, 0.37006449699401855, -9.61430549621582) 
(2023-03-11_15-04-44.474, 0.0, 0.0, None, -0.0072548845782876015, 0.012585272081196308, -0.0080374451354146, 0.8184373378753662, 0.06843186914920807, -10.160736083984375) 
(2023-03-11_15-04-44.506, 0.0, 0.0, None, 0.0037494562566280365, -0.012570424005389214, 0.010391251184046268, 0.6233251094818115, 0.16419152915477753, -10.174826622009277) 
(2023-03-11_15-04-44.548, 0.0, 0.0, None, -0.004783326759934425, 0.01197059266269207, -0.003754769917577505, 0.5851067304611206, 0.10698062181472778, -9.988018035888672) 
(2023-03-11_15-04-44.590, 0.0, 0.0, None, 0.003842530772089958, 0.005218978971242905, 0.010944272391498089, 0.6377607583999634, 0.14975741505622864, -10.308964729309082) 
