Legend: waktu, epoch 1970, epoch 1980, latitude, longitude, altitude, gx, gy, gz, ax, ay, az 
(2023-05-26_16-42-59.908, 1685094179.90139, 1369129379.90139, -7.316250833333333, 112.79027566666667, 30.1, -0.009628253057599068, 0.013113586232066154, 0.014530624262988567, 0.5042169094085693, -0.08882080763578415, -9.820405006408691) 
(2023-05-26_16-43-00.035, 1685094180.032475, 1369129380.032475, -7.316250833333333, 112.79027566666667, 30.1, -0.005484122782945633, -0.013223161920905113, 0.0079185264185071, 0.6373938322067261, -0.14147812128067017, -9.758320808410645) 
(2023-05-26_16-43-00.205, 1685094180.203019, 1369129380.203019, -7.316250833333333, 112.79027566666667, 30.1, -0.004173571243882179, 0.003966884687542915, 0.006037038750946522, 0.5517113208770752, 0.07361804693937302, -9.877837181091309) 
(2023-05-26_16-43-00.319, 1685094180.3126, 1369129380.3126, -7.316251333333334, 112.79027616666667, 30.1, -0.005358269438147545, 0.019327437505126, -0.003170453477650881, 0.7276079654693604, -0.07457763701677322, -9.657796859741211) 
(2023-05-26_16-43-00.443, 1685094180.439956, 1369129380.439956, -7.316251333333334, 112.79027616666667, 30.1, -0.009108628146350384, 0.007654150947928429, -0.0037566940300166607, 0.6183494329452515, -0.16056334972381592, -9.729573249816895) 
(2023-05-26_16-43-00.553, 1685094180.550477, 1369129380.550477, -7.316251333333334, 112.79027616666667, 30.1, -0.005975740030407906, 0.01747792214155197, -0.0013360483571887016, 0.6944494247436523, -0.007738560438156128, -9.834939956665039) 
(2023-05-26_16-43-00.662, 1685094180.660009, 1369129380.660009, -7.316251333333334, 112.79027616666667, 30.1, 0.00748576782643795, 0.016986481845378876, -0.01776120811700821, 0.6278255581855774, -0.09844212979078293, -9.743913650512695) 
(2023-05-26_16-43-00.758, 1685094180.75553, 1369129380.75553, -7.316251333333334, 112.79027616666667, 30.1, -0.007903680205345154, 0.004600802436470985, -0.00618330854922533, 0.6659293174743652, -0.1080557331442833, -9.777491569519043) 
(2023-05-26_16-43-00.870, 1685094180.867065, 1369129380.867065, -7.316251333333334, 112.79027616666667, 30.1, -0.006600765511393547, 0.018100056797266006, -0.0050017349421978, 0.704096794128418, -0.12248142808675766, -9.86375904083252) 
(2023-05-26_16-43-00.965, 1685094180.962585, 1369129380.962585, -7.316251333333334, 112.79027616666667, 30.1, -0.0005127247422933578, -0.0027686208486557007, 0.007902965880930424, 0.6849604845046997, 0.04958726838231087, -9.90195083618164) 
(2023-05-26_16-43-01.077, 1685094181.074112, 1369129381.074112, -7.316251333333334, 112.79027616666667, 30.1, -0.00972789991647005, 0.004573719576001167, -0.0006978549063205719, 0.713397741317749, -0.0889311209321022, -9.700899124145508) 
(2023-05-26_16-43-01.170, 1685094181.169527, 1369129381.169527, -7.316251333333334, 112.79027616666667, 30.1, -0.0029891394078731537, 0.0021640807390213013, -0.003716452978551388, 0.6944361925125122, -0.01728658378124237, -9.815787315368652) 
(2023-05-26_16-43-01.266, 1685094181.264653, 1369129381.264653, -7.316251333333334, 112.79027616666667, 30.1, -0.015150314196944237, 0.023552052676677704, 0.0028822049498558044, 0.599338173866272, -0.007672719657421112, -9.863570213317871) 
(2023-05-26_16-43-01.344, 1685094181.343897, 1369129381.343897, -7.316251333333334, 112.79027616666667, 30.1, -0.01651459001004696, -0.005915751680731773, 0.00724413339048624, 0.5422106981277466, -0.08404209464788437, -9.7677583694458) 
(2023-05-26_16-43-01.422, 1685094181.42095, 1369129381.42095, -7.316251333333334, 112.79027616666667, 30.1, 0.0068798065185546875, 0.007731838151812553, -0.0024777520447969437, 0.4612964689731598, -0.07917081564664841, -9.734135627746582) 
(2023-05-26_16-43-01.501, 1685094181.500985, 1369129381.500985, -7.316251333333334, 112.79027616666667, 30.1, -0.009767333045601845, -0.007100362330675125, 0.004831835627555847, 0.718246579170227, -0.17498180270195007, -9.715324401855469) 
(2023-05-26_16-43-01.581, 1685094181.578505, 1369129381.578505, -7.316251333333334, 112.79027616666667, 30.1, 0.0013639666140079498, 0.01631607860326767, -0.009848542511463165, 0.675255298614502, 0.0019227862358093262, -9.696009635925293) 
(2023-05-26_16-43-01.690, 1685094181.68864, 1369129381.68864, -7.316251333333334, 112.79027616666667, 30.1, 0.005571097135543823, -0.005146069452166557, -0.0061022755689918995, 0.5849751234054565, 0.1213846504688263, -9.882635116577148) 
(2023-05-26_16-43-01.801, 1685094181.799511, 1369129381.799511, -7.316251333333334, 112.79027616666667, 30.1, -0.00294407457113266, 0.0008919443935155869, 0.010323110036551952, 0.5563621520996094, 0.10233704000711441, -9.805978775024414) 
(2023-05-26_16-43-01.912, 1685094181.909043, 1369129381.909043, -7.316251333333334, 112.79027616666667, 30.1, 0.006865514442324638, 0.0071281567215919495, -0.005527000408619642, 0.4898671805858612, -0.09832117706537247, -9.743758201599121) 
(2023-05-26_16-43-02.021, 1685094182.018086, 1369129382.018086, -7.316251333333334, 112.79027616666667, 30.1, 0.004340698942542076, -0.002686586230993271, -0.009776130318641663, 0.5897183418273926, 0.08794479817152023, -9.844342231750488) 
(2023-05-26_16-43-02.116, 1685094182.112097, 1369129382.112097, -7.316251333333334, 112.79027616666667, 30.1, 0.0007715970277786255, 0.022455748170614243, -0.012311500497162342, 0.637431263923645, -0.12238790839910507, -9.806207656860352) 
(2023-05-26_16-43-02.209, 1685094182.207629, 1369129382.207629, -7.316251333333334, 112.79027616666667, 30.1, 0.013555878773331642, -0.01002892293035984, -0.001175309531390667, 0.6467729806900024, 0.006692543625831604, -9.753451347351074) 
(2023-05-26_16-43-02.290, 1685094182.287092, 1369129382.287092, -7.316251333333334, 112.79027616666667, 30.1, -0.005366848781704903, 0.011939972639083862, 0.004786401987075806, 0.7182456254959106, 0.011345438659191132, -9.858903884887695) 
(2023-05-26_16-43-02.367, 1685094182.36628, 1369129382.36628, -7.316251333333334, 112.79027616666667, 30.1, -0.006002642214298248, 0.008257823996245861, 0.004185747355222702, 0.6373426914215088, -0.002899855375289917, -9.820502281188965) 
(2023-05-26_16-43-02.448, 1685094182.445778, 1369129382.445778, -7.3162515, 112.7902765, 30.1, -0.01024560071527958, 0.020507724955677986, 0.003520301543176174, 0.5518538951873779, -0.04589927941560745, -9.91143798828125) 
(2023-05-26_16-43-02.527, 1685094182.523333, 1369129382.523333, -7.3162515, 112.7902765, 30.1, -0.02319246158003807, 0.010614100843667984, 0.007166125811636448, 0.5517992973327637, -0.026759281754493713, -9.877898216247559) 
(2023-05-26_16-43-02.654, 1685094182.648867, 1369129382.648867, -7.3162515, 112.7902765, 30.1, 0.012929512187838554, -0.008789373561739922, -0.006063457578420639, 0.6183150410652161, -0.04110459238290787, -9.791766166687012) 
(2023-05-26_16-43-02.793, 1685094182.791398, 1369129382.791398, -7.3162515, 112.7902765, 30.1, 0.008719218894839287, 0.008978060446679592, -0.00552617572247982, 0.6325551271438599, -0.07932095974683762, -9.734329223632812) 
(2023-05-26_16-43-02.904, 1685094182.902934, 1369129382.902934, -7.3162515, 112.7902765, 30.1, -0.004210177809000015, 0.003382829949259758, -0.0031146518886089325, 0.5041811466217041, -0.017137333750724792, -9.84430980682373) 
(2023-05-26_16-43-03.014, 1685094183.012473, 1369129383.012473, -7.3162515, 112.7902765, 30.1, 0.011205459013581276, 0.004652965813875198, 0.007922002114355564, 0.6135615110397339, -0.026769578456878662, -9.806121826171875) 
(2023-05-26_16-43-03.093, 1685094183.09199, 1369129383.09199, -7.3162515, 112.7902765, 30.1, 0.00010873936116695404, -0.0027713701128959656, 0.009735946543514729, 0.5373629331588745, 0.11189297586679459, -9.839478492736816) 
(2023-05-26_16-43-03.190, 1685094183.187258, 1369129383.187258, -7.3162515, 112.7902765, 30.1, 0.006240326911211014, -0.004574580118060112, 0.00793361570686102, 0.7134779691696167, -0.050753600895404816, -9.801459312438965) 
(2023-05-26_16-43-03.284, 1685094183.282085, 1369129383.282085, -7.3162515, 112.7902765, 30.1, -0.006053110584616661, 0.005837207660079002, -0.006180510390549898, 0.5754339694976807, -0.08880723267793655, -9.695952415466309) 
(2023-05-26_16-43-03.363, 1685094183.362599, 1369129383.362599, -7.3162515, 112.7902765, 30.1, 0.004455458372831345, 0.0009099841117858887, 0.01645253226161003, 0.47551700472831726, -0.04571249336004257, -9.714971542358398) 
(2023-05-26_16-43-03.505, 1685094183.503556, 1369129383.503556, -7.3162515, 112.7902765, 30.1, -0.0005010142922401428, 0.005232339724898338, -5.586165934801102e-05, 0.4802129864692688, 0.11675509810447693, -9.786724090576172) 
(2023-05-26_16-43-03.616, 1685094183.614665, 1369129383.614665, -7.3162515, 112.7902765, 30.1, 0.0069083478301763535, 0.005857981741428375, 0.00790231954306364, 0.5470820665359497, -0.25132426619529724, -9.739127159118652) 
(2023-05-26_16-43-03.709, 1685094183.707107, 1369129383.707107, -7.3162515, 112.7902765, 30.1, -0.00045199692249298096, -0.0009732786566019058, 0.021932661533355713, 0.41838085651397705, 0.09769275039434433, -9.781877517700195) 
(2023-05-26_16-43-03.807, 1685094183.802627, 1369129383.802627, -7.3162515, 112.7902765, 30.1, 0.006198989227414131, 0.008403043262660503, -0.021399546414613724, 0.5565199851989746, -0.1270734667778015, -9.767800331115723) 
(2023-05-26_16-43-03.914, 1685094183.912288, 1369129383.912288, -7.3162515, 112.7902765, 30.1, 0.00012122839689254761, -0.003398606553673744, 0.014009629376232624, 0.4661509096622467, -0.1222260519862175, -9.786853790283203) 
(2023-05-26_16-43-04.026, 1685094184.023663, 1369129384.023663, -7.3162515, 112.7902765, 30.1, -0.0029697902500629425, 0.013855827040970325, -0.014738340862095356, 0.7326209545135498, -0.06994248181581497, -9.88770866394043) 
(2023-05-26_16-43-04.165, 1685094184.163501, 1369129384.163501, -7.3162515, 112.7902765, 30.1, -0.006026720628142357, 0.01012775395065546, -0.004973834380507469, 0.6705796718597412, -0.06022604554891586, -9.719991683959961) 
(2023-05-26_16-43-04.260, 1685094184.258021, 1369129384.258021, -7.3162515, 112.7902765, 30.1, -0.00727822445333004, 0.0027457885444164276, -0.0006829416379332542, 0.7230280637741089, -0.12244539707899094, -9.77756404876709) 
(2023-05-26_16-43-04.370, 1685094184.369116, 1369129384.369116, -7.3162515, 112.7902765, 30.1, -0.011538606137037277, 0.013778513297438622, -0.00439566420391202, 0.5897079706192017, -0.07926585525274277, -9.705541610717773) 
(2023-05-26_16-43-04.448, 1685094184.447093, 1369129384.447093, -7.3162515, 112.7902765, 30.1, -0.013356171548366547, 0.010664324276149273, 0.007202097214758396, 0.5849946737289429, -0.09839581698179245, -9.729497909545898) 
(2023-05-26_16-43-04.530, 1685094184.525921, 1369129384.525921, -7.3162515, 112.7902765, 30.1, 0.013601614162325859, 0.005953360348939896, -0.010990521870553493, 0.5801079273223877, -0.012324638664722443, -9.681541442871094) 
(2023-05-26_16-43-04.606, 1685094184.605127, 1369129384.605127, -7.3162515, 112.7902765, 30.1, 0.002556692808866501, 0.00033221393823623657, 0.002412141300737858, 0.622997522354126, 0.06881660968065262, -9.81086254119873) 
(2023-05-26_16-43-04.707, 1685094184.700628, 1369129384.700628, -7.316251333333334, 112.79027666666667, 30.3, 0.006853025406599045, 0.0077553922310471535, -0.009800683706998825, 0.5850162506103516, -0.09840752929449081, -9.7486572265625) 
(2023-05-26_16-43-04.815, 1685094184.812159, 1369129384.812159, -7.316251333333334, 112.79027666666667, 30.3, -0.0034945551306009293, 0.002064760774374008, 0.026183266192674637, 0.49937835335731506, 0.01633472740650177, -9.829916000366211) 
(2023-05-26_16-43-04.910, 1685094184.907693, 1369129384.907693, -7.316251333333334, 112.79027666666667, 30.3, 8.255243301391602e-05, 0.008344173431396484, -0.012878607958555222, 0.5373671054840088, 0.10711310058832169, -9.839481353759766) 
(2023-05-26_16-43-05.004, 1685094185.003018, 1369129385.003018, -7.316251333333334, 112.79027666666667, 30.3, 0.0049264151602983475, -0.005739148706197739, -0.01342548057436943, 0.7038735151290894, -0.02203088253736496, -9.743953704833984) 
(2023-05-26_16-43-05.084, 1685094185.082159, 1369129385.082159, -7.316251333333334, 112.79027666666667, 30.3, -0.007849997840821743, 0.013797346502542496, -0.004382174927741289, 0.6848998069763184, 0.04484253004193306, -9.844475746154785) 
(2023-05-26_16-43-05.178, 1685094185.176248, 1369129385.176248, -7.316251333333334, 112.79027666666667, 30.3, -0.00910334475338459, 0.002103246748447418, 0.005414729006588459, 0.532866358757019, -0.1175689771771431, -9.892300605773926) 
(2023-05-26_16-43-05.256, 1685094185.254178, 1369129385.254178, -7.316251333333334, 112.79027666666667, 30.3, -0.006017792969942093, 0.010119901970028877, -0.002532857470214367, 0.47084975242614746, -0.11742106825113297, -9.738959312438965) 
(2023-05-26_16-43-05.333, 1685094185.331716, 1369129385.331716, -7.316251333333334, 112.79027666666667, 30.3, -0.0017998144030570984, -0.0008755270391702652, -0.010414776392281055, 0.6422200202941895, -0.04118986427783966, -9.897167205810547) 
(2023-05-26_16-43-05.479, 1685094185.475256, 1369129385.475256, -7.316251333333334, 112.79027666666667, 30.3, -0.008475104346871376, 0.008257044479250908, 0.0005152905359864235, 0.4328020215034485, -0.07917215675115585, -9.777210235595703) 
(2023-05-26_16-43-05.636, 1685094185.634341, 1369129385.634341, -7.316251333333334, 112.79027666666667, 30.3, -0.014020158909261227, 0.001460714265704155, 0.006619204767048359, 0.7275732755661011, -0.04111560434103012, -9.652987480163574) 
(2023-05-26_16-43-05.745, 1685094185.743744, 1369129385.743744, -7.316251333333334, 112.79027666666667, 30.3, -0.0017062686383724213, 0.018762217834591866, -0.012308653444051743, 0.590003252029419, -0.08898080140352249, -9.959404945373535) 
(2023-05-26_16-43-05.856, 1685094185.854657, 1369129385.854657, -7.316251333333334, 112.79027666666667, 30.3, -0.011613664217293262, 0.008298272266983986, -0.017193032428622246, 0.6660890579223633, -0.012590035796165466, -9.992972373962402) 
(2023-05-26_16-43-05.935, 1685094185.934183, 1369129385.934183, -7.316251333333334, 112.79027666666667, 30.3, 0.002557797357439995, 0.01635376363992691, -0.01960795372724533, 0.6231904029846191, -0.10805919021368027, -9.844499588012695) 
(2023-05-26_16-43-06.047, 1685094186.045729, 1369129386.045729, -7.316251333333334, 112.79027666666667, 30.3, -0.017692551016807556, 0.012520131655037403, -0.004414199851453304, 0.49474799633026123, -0.017172910273075104, -9.916145324707031) 
(2023-05-26_16-43-06.144, 1685094186.141256, 1369129386.141256, -7.316251333333334, 112.79027666666667, 30.3, -0.009664349257946014, 0.017459088936448097, -0.0013495376333594322, 0.5231910347938538, -0.06969749182462692, -9.786886215209961) 
(2023-05-26_16-43-06.244, 1685094186.236755, 1369129386.236755, -7.316251333333334, 112.79027666666667, 30.3, -0.005977541208267212, 0.016247006133198738, -0.00011161435395479202, 0.6324495077133179, -0.17481595277786255, -9.56674575805664) 
(2023-05-26_16-43-06.334, 1685094186.332296, 1369129386.332296, -7.316251333333334, 112.79027666666667, 30.3, -0.0023475512862205505, 0.005224883556365967, -0.0006728498265147209, 0.5136286020278931, -0.04577513784170151, -9.76291275024414) 
(2023-05-26_16-43-06.414, 1685094186.412313, 1369129386.412313, -7.316251333333334, 112.79027666666667, 30.3, -0.002992270514369011, 0.0015505850315093994, -0.0037144795060157776, 0.6561369895935059, 0.011543132364749908, -9.624135971069336) 
(2023-05-26_16-43-06.493, 1685094186.491839, 1369129386.491839, -7.316251333333334, 112.79027666666667, 30.3, -0.004178034141659737, 0.003970809280872345, 0.004816550761461258, 0.665809154510498, -0.06976991146802902, -9.700833320617676) 
(2023-05-26_16-43-06.589, 1685094186.587379, 1369129386.587379, -7.316251333333334, 112.79027666666667, 30.3, 0.0031868163496255875, 0.013879366219043732, -0.012274881824851036, 0.7517490386962891, -0.04134727269411087, -9.997875213623047) 
(2023-05-26_16-43-06.684, 1685094186.681699, 1369129386.681699, -7.316251333333334, 112.79027666666667, 30.3, 0.007466258481144905, -0.00703013502061367, 0.010386982001364231, 0.6564154624938965, -0.12715810537338257, -9.763124465942383) 
(2023-05-26_16-43-06.776, 1685094186.775225, 1369129386.775225, -7.316251333333334, 112.79027666666667, 30.3, 0.0062150005251169205, 0.004075206816196442, -0.011011580005288124, 0.7516541481018066, 0.011257685720920563, -9.954736709594727) 
(2023-05-26_16-43-06.873, 1685094186.87075, 1369129386.87075, -7.316251333333334, 112.79027683333334, 30.3, -0.0017275810241699219, -0.006485316902399063, 0.017063971608877182, 0.5896414518356323, -0.021898582577705383, -9.691137313842773) 
(2023-05-26_16-43-06.998, 1685094186.996298, 1369129386.996298, -7.316251333333334, 112.79027683333334, 30.3, 0.006187194958329201, -0.005760351195931435, -0.004877565428614616, 0.6564792394638062, 0.01613561064004898, -9.93067741394043) 
(2023-05-26_16-43-07.095, 1685094187.089755, 1369129387.089755, -7.316251333333334, 112.79027683333334, 30.3, 0.0001451205462217331, 0.01445164903998375, -0.004354921635240316, 0.5804532766342163, 0.025709379464387894, -10.016800880432129) 
(2023-05-26_16-43-07.186, 1685094187.185284, 1369129387.185284, -7.316251333333334, 112.79027683333334, 30.3, 0.011072294786572456, -0.006938677281141281, -0.012178564444184303, 0.6756671667098999, -0.01741044968366623, -10.045673370361328) 
